type,measures,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,91,609,652.9,941,730.2,2349,307178
Wohngebäude zusammen,78,306,83.8,909,706.8,2271,155330
Wohngebäude mit 1 Wohnung,39,33,12.7,39,62.2,214,17960
Wohngebäude mit 2 Wohnungen,2,2,1.3,4,5.4,19,1567
Wohngebäude mit 3 o. m. Wohnungen,37,271,69.8,866,639.3,2038,135803
Wohnheime,–,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,9,30,12.2,71,57.2,207,19160
Öffentliche Bauherren,7,77,18.1,275,271.9,786,43903
Unternehmen,25,182,41.7,559,347.2,1169,88011
Wohnungsunternehmen,18,102,31.2,279,200.8,770,45426
Immobilienfonds,1,26,10.5,125,40.9,131,14351
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",6,54,–,155,105.6,268,28234
Private Haushalte,46,47,24,75,87.7,316,23416
Organisationen ohne Erwerbszweck,–,–,–,–,–,–,–
Nichtwohngebäude,13,303,569.1,32,23.3,78,151848
Anstaltsgebäude,–,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,3,157,358.1,2,2,6,121462
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,7,129,173.5,30,21.3,72,21496
Fabrik- und Werkstattgebäude,4,84,84.5,2,1.5,5,11122
Handelsgebäude,1,22,42.3,28,19.8,67,8265
Warenlagergebäude,2,23,46.8,–,–,–,2109
Hotels und Gaststätten,–,–,–,–,–,–,–
Sonstige Nichtwohngebäude,3,17,37.5,–,–,–,8890
Ausgewählte Infrastrukturgebäude,4,18,38.6,–,–,–,11464
Öffentliche Bauherren,2,11,20.4,–,–,–,6888
Unternehmen,7,273,511.9,28,19.8,67,136367
Wohnungsunternehmen,2,28,58.8,28,19.8,67,10406
Immobilienfonds,1,152,348.2,–,–,–,115150
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,2,70,58,–,–,–,8702
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,23,46.8,–,–,–,2109
Private Haushalte,4,19,36.9,4,3.5,11,8593
Organisationen o. Erwerbszweck,–,–,–,–,–,–,–
